abaissement	nom
abaisser	verbe
abaissé	adjectif
abandon	nom
abandonner	verbe
abandonné	adjectif
abasourdi	adjectif
abasourdir	verbe
abat	nom
abatis	nom
abattage	nom
abattant	nom
abattement	nom
abattis	nom
abattoir	nom
abattre	verbe
abattu	adjectif
abbatial	adjectif
abbaye	nom
abbé	nom
abcès	nom
abdication	nom
abdiquer	verbe
abdomen	nom
abdominal	adjectif
abeille	nom
aberrant	adjectif
aberration	nom
abhorrer	verbe
abject	adjectif
abjection	nom
abjurer	verbe
ablation	nom
able	nom
ablette	nom
ablution	nom
abnégation	nom
aboi	nom
aboiement	nom
aboli	adjectif
abolir	verbe
abolition	nom
abominable	adjectif
abominablement	adverbe
abomination	nom
abominer	verbe
abondamment	adverbe
abondance	nom
abondant	adjectif
abonder	verbe
abonnement	nom
abonner	verbe
abonné	nom
abord	nom
abordage	nom
aborder	verbe
aborigène	nom
aboucher	verbe
abouler	verbe
about	nom
aboutir	verbe
aboutissant	nom
aboutissement	nom
aboyer	verbe
aboyeur	nom
abracadabra	nom
abracadabrant	adjectif
abreuver	verbe
abreuvoir	nom
abri	nom
abricot	adjectif
abriter	verbe
abrité	adjectif
abroger	verbe
abrupt	adjectif
abruptement	adverbe
abruti	adjectif
abrutir	verbe
abrutissement	nom
abréger	verbe
abrégé	nom
abréviation	nom
abscons	adjectif
absence	nom
absent	adjectif
absenter	verbe
abside	nom
absinthe	nom
absolu	adjectif
absolument	adverbe
absolution	nom
absolutisme	nom
absorbant	adjectif
absorber	verbe
absorbé	adjectif
absorption	nom
absoudre	verbe
absous	adjectif
abstenir	verbe
abstention	nom
abstinence	nom
abstraction	nom
abstraire	verbe
abstrait	adjectif
absurde	adjectif
absurdement	adverbe
absurdité	nom
abus	nom
abuser	verbe
abusif	adjectif
abusivement	adverbe
abusé	adjectif
abyssal	adjectif
abysse	nom
abêtir	verbe
abêtissement	nom
abîme	nom
abîmer	verbe
acabit	nom
acacia	nom
académicien	nom
académie	nom
académique	adjectif
acagnarder	verbe
acajou	adjectif
acanthe	nom
acariâtre	adjectif
accablant	adjectif
accablement	nom
accabler	verbe
accablé	adjectif
accalmie	nom
accaparer	verbe
accent	nom
accentuer	verbe
accentué	adjectif
acceptable	adjectif
acceptation	nom
accepter	verbe
accessible	adjectif
accession	nom
accessoire	adjectif
accessoirement	adverbe
accessoiriste	nom
accident	nom
accidentel	adjectif
accidentellement	adverbe
accidenté	adjectif
acclamation	nom
acclamer	verbe
acclimatation	nom
acclimater	verbe
accointance	nom
accolade	nom
accoler	verbe
accommodement	nom
accommoder	verbe
accompagnateur	nom
accompagnement	nom
accompagner	verbe
accompagné	adjectif
accompli	adjectif
accomplir	verbe
accomplissement	nom
